338962,Fresh,9,2,2025
805549,Fresh,28,11,2023
108708,Fresh,6,2,2030
617198,Fresh,11,7,2030
895812,Fresh,12,5,2024
548795,Fresh,30,6,2022
719821,Fresh,10,5,2019
607826,Fresh,12,1,2018
892036,Fresh,22,8,2024
621815,Fresh,8,8,2030
758027,Pickled,25,1,2025
214326,Pickled,26,12,2028
435495,Pickled,19,1,2025
706401,Pickled,3,5,2029
695589,Pickled,23,12,2030
613986,Pickled,15,4,2030
773502,Pickled,29,7,2020
589879,Pickled,17,12,2025
133342,Pickled,15,1,2022
536820,Pickled,25,3,2022
517076,Canned,28,8,2025
727769,Canned,16,3,2030
404121,Canned,19,6,2025
362823,Canned,8,9,2030
886858,Canned,3,11,2030
764828,Canned,15,12,2027
233918,Canned,12,4,2028
764828,Canned,10,5,2022
422585,Canned,21,7,2020
665497,Canned,23,2,2027
825881,Pickled,14,7,2016
662239,Pickled,18,4,2020
998811,Pickled,8,2,2026
245885,Canned,30,8,2019
361844,Canned,29,2,2016
732592,Canned,24,10,2024
679663,Fresh,11,9,2029
337828,Pickled,18,8,2015
570233,Canned,8,11,2025
982053,Fresh,29,3,2018
847932,Canned,29,7,2020
997351,Canned,29,2,2016
212851,Canned,16,7,2026
503025,Canned,21,4,2016
809671,Pickled,22,8,2027
145723,Pickled,9,2,2026
425720,Canned,14,4,2017
308730,Canned,24,5,2017
909900,Pickled,13,6,2024
585082,Fresh,9,1,2028
